UserId,PostId,TimeStamp,Content
D98,P282,45655,Trump's tax cuts are seen as favoring the wealthy.
D99,P286,45656,Kamala Harris continues to inspire with her leadership.
D100,P291,45657,Kamala Harris's foreign policy initiatives are gaining global recognition.
D101,P292,45657,Trump's healthcare policies continue to divide the nation.
D102,P296,45292,Kamala Harris's climate change initiatives are setting new goals.
D103,P297,45292,Trump's latest tax reforms are criticized for corporate favoritism.
D104,P301,45293,Kamala Harris is addressing systemic inequality in her new policies.
D105,P302,45293,Trump's tax cuts are seen as favoring the wealthy.
D106,P306,45294,Kamala Harris continues to inspire with her leadership.
D107,P311,45295,Kamala Harris's foreign policy initiatives are gaining global recognition.
D108,P312,45295,Trump's healthcare policies continue to divide the nation.
D109,P316,45296,Kamala Harris's climate change initiatives are setting new goals.
D110,P317,45296,Trump's latest tax reforms are criticized for corporate favoritism.
D111,P322,45297,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R112,P323,45297,Trump's trade agreements are boosting certain American industries.
D113,P326,45298,Kamala Harris's healthcare policies are making significant impacts.
R114,P327,45298,Trump's tax reforms are encouraging business investments.
D115,P331,45299,Kamala Harris is a symbol of progressive leadership.
D116,P336,45300,Kamala Harris's foreign policy is earning international acclaim.
D117,P337,45300,Trump's healthcare policies continue to divide public opinion.
D118,P341,45301,Kamala Harris's climate initiatives are setting new benchmarks.
D119,P342,45301,Trump's latest tax reforms are criticized for corporate favoritism.
D120,P347,45302,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R121,P348,45302,Trump's trade agreements are boosting certain American industries.
D122,P351,45303,Kamala Harris's healthcare policies are making significant impacts.
R123,P352,45303,Trump's tax reforms are encouraging business investments.
D124,P356,45304,Kamala Harris is a symbol of progressive leadership.
D125,P361,45305,Kamala Harris's foreign policy is earning international acclaim.
D126,P362,45305,Trump's healthcare policies continue to divide public opinion.
D127,P366,45306,Kamala Harris's climate initiatives are setting new benchmarks.
D128,P367,45306,Trump's latest tax reforms are criticized for corporate favoritism.
D129,P372,45307,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R130,P373,45307,Trump's trade agreements are boosting certain American industries.
D131,P376,45308,Kamala Harris's healthcare policies are making significant impacts.
R132,P377,45308,Trump's tax reforms are encouraging business investments.
D133,P381,45309,Kamala Harris is a symbol of progressive leadership.
D134,P386,45310,Kamala Harris's foreign policy is earning international acclaim.
D135,P387,45310,Trump's healthcare policies continue to divide public opinion.
D136,P391,45311,Kamala Harris's climate initiatives are setting new benchmarks.
D137,P392,45311,Trump's latest tax reforms are criticized for corporate favoritism.
D138,P397,45312,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R139,P398,45312,Trump's trade agreements are boosting certain American industries.
D140,P401,45313,Kamala Harris's new policy on education reform is impressive.
R141,P402,45313,Donald Trump's latest speech on the economy was well-received.
D142,P406,45314,Kamala Harris is making strides in healthcare accessibility.
R143,P407,45314,Trump's tax cuts are benefiting small businesses.
D144,P411,45315,Kamala Harris continues to advocate for affordable housing solutions.
D145,P416,45316,Kamala Harris is addressing wage gaps in her latest policy proposal.
D80,P417,45316,Trump's tax cuts are seen as favoring the wealthy.
D147,P421,45317,Kamala Harris continues to inspire with her leadership.
D148,P426,45318,Kamala Harris's foreign policy initiatives are gaining global recognition.
D108,P427,45318,Trump's healthcare policies continue to divide the nation.
D150,P431,45319,Kamala Harris's climate change initiatives are setting new goals.
D137,P432,45319,Trump's latest tax reforms are criticized for corporate favoritism.
D138,P437,45320,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R139,P438,45320,Trump's trade agreements are boosting certain American industries.
D154,P441,45321,Kamala Harris's healthcare policies are making significant impacts.
R132,P442,45321,Trump's tax reforms are encouraging business investments.
D156,P446,45322,Kamala Harris is a symbol of progressive leadership.
D157,P451,45323,Kamala Harris's foreign policy is earning international acclaim.
D135,P452,45323,Trump's healthcare policies continue to divide public opinion.
D159,P456,45324,Kamala Harris's climate initiatives are setting new benchmarks.
D160,P457,45324,Trump's latest tax reforms are criticized for corporate favoritism.
D161,P462,45325,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R162,P463,45325,Trump's trade agreements are boosting certain American industries.
D163,P466,45326,Kamala Harris's healthcare policies are making significant impacts.
R164,P467,45326,Trump's tax reforms are encouraging business investments.
D165,P471,45327,Kamala Harris is a symbol of progressive leadership.
D166,P476,45328,Kamala Harris's foreign policy is earning international acclaim.
D167,P477,45328,Trump's healthcare policies continue to divide public opinion.
D168,P481,45329,Kamala Harris's climate initiatives are setting new benchmarks.
D169,P482,45329,Trump's latest tax reforms are criticized for corporate favoritism.
D170,P487,45330,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R171,P488,45330,Trump's trade agreements are boosting certain American industries.
D172,P491,45331,Kamala Harris's healthcare policies are making significant impacts.
R173,P492,45331,Trump's tax reforms are encouraging business investments.
D174,P496,45332,Kamala Harris is a symbol of progressive leadership.
D175,P501,45699,Kamala Harris's new policy on education reform is impressive.
R176,P502,45699,Donald Trump's latest speech on the economy was well-received.
D177,P506,45700,Kamala Harris is making strides in healthcare accessibility.
R178,P507,45700,Trump's tax cuts are benefiting small businesses.
D179,P511,45701,Kamala Harris continues to advocate for affordable housing solutions.
D180,P516,45702,Kamala Harris is addressing wage gaps in her latest policy proposal.
D181,P517,45702,Trump's tax cuts are seen as favoring the wealthy.
D182,P521,45703,Kamala Harris continues to inspire with her leadership.
D183,P526,45704,Kamala Harris's foreign policy initiatives are gaining global recognition.
D108,P527,45704,Trump's healthcare policies continue to divide the nation.
D185,P531,45705,Kamala Harris's climate change initiatives are setting new goals.
D169,P532,45705,Trump's latest tax reforms are criticized for corporate favoritism.
D170,P537,45706,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R171,P538,45706,Trump's trade agreements are boosting certain American industries.
D189,P541,45707,Kamala Harris's healthcare policies are making significant impacts.
R173,P542,45707,Trump's tax reforms are encouraging business investments.
D191,P546,45708,Kamala Harris is a symbol of progressive leadership.
D192,P551,45709,Kamala Harris's new policy on education reform is impressive.
R193,P552,45709,Donald Trump's latest speech on the economy was well-received.
D194,P556,45710,Kamala Harris is making strides in healthcare accessibility.
R195,P557,45710,Trump's tax cuts are benefiting small businesses.
D196,P561,45711,Kamala Harris continues to advocate for affordable housing solutions.
D197,P566,45712,Kamala Harris is addressing wage gaps in her latest policy proposal.
D198,P567,45712,Trump's tax cuts are seen as favoring the wealthy.
D199,P571,45713,Kamala Harris continues to inspire with her leadership.
D200,P576,45714,Kamala Harris's foreign policy initiatives are gaining global recognition.
D201,P577,45714,Trump's healthcare policies continue to divide the nation.
D202,P581,45715,Kamala Harris's climate change initiatives are setting new goals.
D203,P582,45715,Trump's latest tax reforms are criticized for corporate favoritism.
D204,P587,45716,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R205,P588,45716,Trump's trade agreements are boosting certain American industries.
D206,P591,45717,Kamala Harris's healthcare policies are making significant impacts.
R207,P592,45717,Trump's tax reforms are encouraging business investments.
D208,P596,45718,Kamala Harris is a symbol of progressive leadership.
